String,Class
vase filled with flowers sitting on top of a wooden table .,1
vase filled with flowers on top of a table .,1
vase filled with yellow flowers on top of a table .,1
vase filled with yellow and purple flowers .,1
vase filled with yellow flowers on a table .,1
vase filled with flowers on top of a table .,1
vase filled with yellow flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
bunch of bananas hanging from a tree .,1
bunch of green bananas hanging from a tree .,1
bunch of unripe bananas hanging from a tree .,1
bunch of bananas hanging from a tree,1
man holding a tennis racquet on a tennis court .,1
man holding a tennis racquet on top of a tennis court .,1
man holding a tennis racket on a tennis court .,1
female tennis player in action on the court .,1
woman is playing tennis on a tennis court .,1
woman is playing tennis on a court,1
woman is playing tennis on a court .,1
giraffe standing on top of a lush green field .,1
giraffe is standing in a grassy field .,1
giraffe standing in the middle of a field .,1
red fire hydrant sitting in the middle of a field .,1
red fire hydrant sitting in the middle of a park .,1
red fire hydrant sitting in the middle of a lush green field .,1
red and white fire hydrant sitting in the middle of a field .,1
close up of an orange on a table,1
vase filled with lots of purple flowers .,1
vase filled with yellow flowers on top of a table .,1
vase filled with yellow flowers on a table .,1
large body of water next to a bridge .,1
large body of water with a bridge spanning it .,1
building with a clock on the front of it,1
large building with a clock on the top of it .,1
vase filled with lots of purple flowers .,1
vase filled with flowers on top of a table .,1
vase filled with yellow flowers on top of a table .,1
vase filled with lots of flowers on top of a table .,1
bunch of flowers that are sitting in the grass .,1
bunch of flowers that are in a tree .,1
bunch of flowers that are sitting in a tree .,1
bunch of flowers that are in a tree,1
vase of flowers sitting on a table .,1
vase of flowers sitting on a table,1
vase of flowers on a table in a room .,1
vase of flowers on a table in a room,1
vase filled with flowers sitting on a window sill .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase of flowers sitting on a window sill .,1
bunch of bananas hanging from a tree .,1
bunch of green bananas hanging from a tree .,1
bunch of unripe bananas hanging from a tree .,1
bunch of bananas hanging from a tree,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
couple of toilets that are in a room,1
clock hanging from the ceiling of a building .,1
clock hanging from the side of a building .,1
clock hanging from the ceiling of a building,1
vase filled with flowers on top of a table .,1
vase filled with flowers on a table .,1
bouquet of flowers in a vase on a table .,1
vase filled with flowers on top of a table .,1
vase filled with lots of purple flowers .,1
vase filled with lots of flowers on top of a table .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
table topped with cakes and cupcakes on top of a table .,1
table topped with cakes and cakes on top of it .,1
table topped with cakes and cupcakes on top of it .,1
little girl holding a toothbrush in her hand .,1
vase filled with flowers on top of a table .,1
vase filled with lots of purple flowers .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
red stop sign sitting on the side of a road .,1
red stop sign sitting next to a tree .,1
red stop sign sitting in the middle of a forest .,1
red stop sign sitting on the side of a street .,1
red and white bus parked in front of a building .,1
red and white bus parked next to a building .,1
red and white bus parked in front of a store .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
group of people standing on top of a tennis court .,1
group of people playing a game of tennis .,1
group of people playing tennis on a tennis court .,1
group of people playing tennis on a court .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
white vase filled with purple flowers on a table .,1
vase filled with flowers on top of a table .,1
vase filled with lots of purple flowers .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with flowers on top of a window sill .,1
park bench sitting in the middle of a park .,1
park bench sitting in the middle of a forest .,1
park bench sitting in the middle of a lush green park .,1
park bench sitting in the middle of a field .,1
vase filled with flowers on top of a table .,1
vase of flowers sitting on a table .,1
vase filled with flowers on a table .,1
vase of flowers sitting on a table,1
bunch of bananas hanging from a tree .,1
bunch of green bananas hanging from a tree .,1
bunch of bananas hanging from a tree,1
bunch of green bananas hanging from a tree,1
giraffe standing next to a tree in a forest .,1
giraffe standing in the middle of a forest .,1
giraffe standing next to a tree in a field .,1
giraffe standing next to a tree on a lush green field .,1
couple of men standing next to each other .,1
group of men standing next to each other .,1
man and a woman standing next to each other .,1
couple of men standing next to each other in a forest .,1
vase filled with lots of purple flowers .,1
small bird perched on a tree branch .,1
small bird sitting on a tree branch .,1
small bird sitting on a tree branch,1
small bird perched on a tree branch,1
vase filled with flowers on top of a table .,1
vase filled with lots of purple flowers .,1
vase filled with flowers on a table .,1
vase filled with flowers on top of a wooden table .,1
red fire hydrant sitting in the middle of a forest .,1
red fire hydrant in the middle of a forest .,1
red fire hydrant sitting in the middle of a field .,1
red fire hydrant in the middle of a field .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with yellow flowers on top of a table .,1
vase filled with flowers sitting on a table .,1
colorful bird sitting on a tree branch .,1
colorful bird is sitting on a tree branch .,1
colorful bird is sitting on a branch .,1
colorful bird sitting on a tree branch,1
panda bear sitting on top of a rock .,1
panda bear sitting on top of a tree stump .,1
panda bear sitting on top of a tree .,1
panda bear sitting on top of a pile of rocks .,1
giraffe standing next to a tree in a field .,1
giraffe standing next to a tree in a forest .,1
giraffe standing in the grass near a tree .,1
giraffe standing in a field next to a tree .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
bouquet of flowers in a vase on a table .,1
vase filled with flowers on top of a table .,1
vase of flowers sitting on a table .,1
vase filled with lots of flowers on top of a table .,1
vase of flowers sitting on a table,1
white wedding cake sitting on a table .,1
white wedding cake sitting on top of a table .,1
white wedding cake sitting on a table,1
white wedding cake sitting on top of a white plate .,1
white plate topped with a piece of cake .,1
white plate topped with a piece of cake and a fork .,1
white plate with a piece of cake on it,1
female tennis player in action on the court .,1
tennis player swinging a racket at a ball,1
tennis player in action on the court .,1
tennis player swinging a racket at a tennis ball,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with lots of flowers on top of a table .,1
herd of cattle standing on top of a lush green field .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with yellow flowers on top of a table .,1
red stop sign sitting on the side of a road .,1
red stop sign sitting on the side of a street .,1
red stop sign sitting on top of a metal pole .,1
red stop sign sitting on top of a wooden pole .,1
group of tennis players posing for a picture .,1
group of tennis players pose for a picture .,1
group of tennis players pose for a photo .,1
black and white photo of a tennis team,1
red fire hydrant sitting on the side of a road .,1
red fire hydrant sitting in the middle of a park .,1
red fire hydrant sitting on the side of a street .,1
couple of boats that are sitting in the water .,1
bunch of green apples hanging from a tree .,1
bunch of green bananas hanging from a tree .,1
bunch of green apples growing on a tree .,1
bunch of green apples hanging from a tree,1
couple of giraffe standing next to each other .,1
couple of giraffes are standing in a pin,1
brown teddy bear sitting on top of a tree .,1
brown teddy bear sitting on top of a tree branch .,1
brown teddy bear sitting on a tree branch .,1
giraffe standing in the middle of a forest .,1
giraffe standing in the middle of a field .,1
giraffe is standing in a grassy field .,1
giraffe standing in the middle of a lush green field .,1
vase filled with flowers on top of a table .,1
vase filled with flowers sitting on top of a table .,1
vase filled with flowers sitting on a table .,1
vase filled with yellow flowers on top of a table .,1
man in white shirt and shorts playing a game of tennis .,1
bunch of bananas hanging from a tree .,1
bunch of green bananas hanging from a tree .,1
bunch of bananas hanging from a tree,1
vase of flowers sitting on a table .,1
vase of flowers sitting on a table,1
man standing on a tennis court holding a racquet .,1
man standing on top of a tennis court holding a racquet .,1
man standing on a tennis court holding a tennis racquet .,1
man standing on a tennis court with a racquet .,1
couple of giraffe standing next to each other .,1
couple of giraffes are standing in a field,1
couple of giraffe standing on top of a lush green field .,1
couple of giraffe standing next to a tree .,1
bicycle is parked next to a stop sign .,1
bicycle parked on the side of a street .,1
bicycle parked next to a stop sign .,1
bicycle parked on the side of a road .,1
close up of a pair of scissors on a table,1
pair of scissors sitting on a table,1
vase filled with flowers on top of a table .,1
bouquet of flowers in a vase on a table .,1
vase filled with lots of flowers on top of a table .,1
vase of flowers on a table,1
couple of giraffe standing next to each other .,1
couple of giraffe standing next to a tree .,1
couple of giraffes are standing in a field,1
giraffe standing next to a tree in a forest .,1
"bowl of broccoli  , cauliflower ,  and carrots on a table .",1
"bowl of broccoli  , cauliflower ,  carrots and other vegetables .",1
